=== ScanTicket V1 — Populate Embeddings ===
Modele: https://api.fireworks.ai/inference/v1/
Force re-embed: False

Dossiers a embedder: 25904
  [6100/25904] 43.7 docs/s | 806249 tokens
  [6150/25904] 43.7 docs/s | 814757 tokens
  [6200/25904] 43.7 docs/s | 823551 tokens
  [6250/25904] 43.8 docs/s | 832516 tokens
  [6300/25904] 43.7 docs/s | 841384 tokens
  [6350/25904] 43.7 docs/s | 850156 tokens
  [6400/25904] 43.7 docs/s | 858980 tokens
  [6450/25904] 43.7 docs/s | 868109 tokens
  [6500/25904] 43.7 docs/s | 877177 tokens
  [6550/25904] 43.7 docs/s | 886124 tokens
  [6600/25904] 43.7 docs/s | 893548 tokens
  [6650/25904] 43.7 docs/s | 901316 tokens
  [6700/25904] 43.8 docs/s | 910035 tokens
  [6750/25904] 43.8 docs/s | 917944 tokens
  [6800/25904] 43.8 docs/s | 926157 tokens
  [6850/25904] 43.8 docs/s | 934490 tokens
  [6900/25904] 43.8 docs/s | 943368 tokens
  [6950/25904] 43.8 docs/s | 951425 tokens
  [7000/25904] 43.9 docs/s | 960640 tokens
  [7050/25904] 43.9 docs/s | 969637 tokens
  [7100/25904] 43.8 docs/s | 978475 tokens
  [7150/25904] 43.9 docs/s | 987372 tokens
  [7200/25904] 43.9 docs/s | 995742 tokens
  [7250/25904] 43.9 docs/s | 1004134 tokens
  [7300/25904] 43.8 docs/s | 1012890 tokens
  [7350/25904] 43.8 docs/s | 1021878 tokens
  [7400/25904] 43.9 docs/s | 1030236 tokens
  [7450/25904] 43.9 docs/s | 1038426 tokens
  [7500/25904] 43.9 docs/s | 1047165 tokens
  [7550/25904] 43.9 docs/s | 1055361 tokens
  [7600/25904] 43.9 docs/s | 1063795 tokens
  [7650/25904] 43.9 docs/s | 1072430 tokens
  [7700/25904] 43.9 docs/s | 1081002 tokens
  [7750/25904] 43.9 docs/s | 1089318 tokens
  [7800/25904] 43.9 docs/s | 1096948 tokens
  [7850/25904] 43.9 docs/s | 1104621 tokens
  [7900/25904] 43.9 docs/s | 1112226 tokens
  [7950/25904] 43.9 docs/s | 1119849 tokens
  [8000/25904] 43.9 docs/s | 1128781 tokens
  [8050/25904] 43.8 docs/s | 1137033 tokens
  [8100/25904] 43.8 docs/s | 1145263 tokens
  [8150/25904] 43.8 docs/s | 1153549 tokens
  [8200/25904] 43.8 docs/s | 1162438 tokens
  [8250/25904] 43.8 docs/s | 1171473 tokens
  [8300/25904] 43.8 docs/s | 1180322 tokens
  [8350/25904] 43.8 docs/s | 1188981 tokens
  [8400/25904] 43.8 docs/s | 1197690 tokens
  [8450/25904] 43.8 docs/s | 1206214 tokens
  [8500/25904] 43.7 docs/s | 1214494 tokens
  [8550/25904] 43.6 docs/s | 1223611 tokens
  [8600/25904] 43.6 docs/s | 1232329 tokens
  [8650/25904] 43.6 docs/s | 1240701 tokens
  [8700/25904] 43.6 docs/s | 1249113 tokens
  [8750/25904] 43.6 docs/s | 1257223 tokens
  [8800/25904] 43.5 docs/s | 1265957 tokens
  [8850/25904] 43.6 docs/s | 1274487 tokens
  [8900/25904] 43.6 docs/s | 1283170 tokens
  [8950/25904] 43.6 docs/s | 1291585 tokens
  [9000/25904] 43.6 docs/s | 1299872 tokens
  [9050/25904] 43.6 docs/s | 1308419 tokens
  [9100/25904] 43.6 docs/s | 1316721 tokens
  [9150/25904] 43.6 docs/s | 1325212 tokens
  [9200/25904] 43.6 docs/s | 1334007 tokens
  [9250/25904] 43.6 docs/s | 1342944 tokens
  [9300/25904] 43.6 docs/s | 1351227 tokens
  [9350/25904] 43.6 docs/s | 1359620 tokens
  [9400/25904] 43.5 docs/s | 1367829 tokens
  [9450/25904] 43.6 docs/s | 1376343 tokens
  [9500/25904] 43.5 docs/s | 1384699 tokens
  [9550/25904] 43.5 docs/s | 1393389 tokens
  [9600/25904] 43.5 docs/s | 1402623 tokens
  [9650/25904] 43.5 docs/s | 1411639 tokens
  [9700/25904] 43.5 docs/s | 1420127 tokens
  [9750/25904] 43.5 docs/s | 1428324 tokens
  [9800/25904] 43.5 docs/s | 1436206 tokens
  [9850/25904] 43.6 docs/s | 1445003 tokens
  [9900/25904] 43.6 docs/s | 1454094 tokens
  [9950/25904] 43.6 docs/s | 1462554 tokens
  [10000/25904] 43.6 docs/s | 1471211 tokens
  [10050/25904] 43.6 docs/s | 1479513 tokens
  [10100/25904] 43.6 docs/s | 1488132 tokens
  [10150/25904] 43.5 docs/s | 1496647 tokens
  [10200/25904] 43.6 docs/s | 1505003 tokens
  [10250/25904] 43.5 docs/s | 1513563 tokens
  [10300/25904] 43.5 docs/s | 1521341 tokens
  [10350/25904] 43.5 docs/s | 1529719 tokens
  [10400/25904] 43.5 docs/s | 1538153 tokens
  [10450/25904] 43.5 docs/s | 1546884 tokens
  [10500/25904] 43.5 docs/s | 1555203 tokens
  [10550/25904] 43.5 docs/s | 1563948 tokens
  [10600/25904] 43.5 docs/s | 1572760 tokens
  [10650/25904] 43.5 docs/s | 1581176 tokens
  [10700/25904] 43.5 docs/s | 1589625 tokens
